image,text,true_label,predicted_label
flickr8k-images\2638369467_8fc251595b.jpg,"['A girl in a white dress .', 'A little girl in white is looking back at the camera while carrying a water grenade .', 'A smiling young girl in braids is playing ball .', 'A young girl wearing white looks at the camera as she plays .', 'The girl is holding a green ball .']",1,0
flickr8k-images\2851304910_b5721199bc.jpg,"['A photographer looks over the hills .', 'A woman in a red jacket is videotaping a natural landscape .', 'A woman with a camera looks out over rolling hills .', 'A woman with a camera on a tripod is looking at the view .', 'Lady in red shirt has her camera set up in the field to record something .']",1,0
flickr8k-images\3356369156_074750c6cc.jpg,"['A blue boat with a yellow canopy is floating on calm waters .', 'A boat in the water .', 'A boat with a roof on green water .', 'The boat is in the middle of the water .', 'The solitude boat floats on the lake .']",1,0
flickr8k-images\3197891333_b1b0fd1702.jpg,"['A family of nine people , including four children , pose in front of a brick fireplace with a white mantle .', 'A family poses in front of the fireplace and Christmas tree .', 'A family posing by the mantle and christmas tree .', 'A happy family poses by the fireplace .', 'Two couples and four kids pose for a family picture .']",1,0
flickr8k-images\3119887967_271a097464.jpg,"['Man in a sweater pointing at the camera .', 'One man is posing with arms outstretched and finger pointed while another stares from behind him .', 'The man in the black hat stands behind the man who is pointing his finger .', 'Two men look toward the camera , while the one in front points his index finger .', 'Two men , one wearing a black hat while the one in front points , standing in a hallway .']",1,0
flickr8k-images\2506892928_7e79bec613.jpg,"['three children in a field with white flowers', 'Three children , one with a stuffed kitten , in a field of flowers .', 'three children play in the garden .', 'Three children pose among wildflowers .', 'Three kids palying with a toy cat in a garden .']",1,0
flickr8k-images\3097196395_ec06075389.jpg,"['Two dogs are racing on a ractrack .', 'two dogs race across the track .', 'Two greyhounds race', 'Two greyhounds with muzzles race along the inside curb of a railed dirt track .', 'Two racing dogs run around a track .']",1,0
flickr8k-images\3603116579_4a28a932e2.jpg,"['A baseball pitcher with Shelton on his shirt throws the ball .', 'A baseball player in a black and orange shirt , and with a glove on , pitches the ball .', 'A male dressed in a sports outfit tries to catch a baseball .', 'A man playing baseball .', 'The baseball player is running after the ball .']",1,0
flickr8k-images\2502007071_82a8c639cf.jpg,"['A group of people in front of a house .', 'A man in stripes , a woman in sunglasses , and a child in a blue hat in front of a brick building .', 'A woman in sunglasses and a blue flowered shirt stands while a boy and a man sit nearby .', 'A woman wearing sunglasses and a flowered shirt looks to the left .', 'Three adults and one child are waiting outside of a building , perhaps a school .']",1,0
flickr8k-images\3113769557_9edbb8275c.jpg,"['A woman stands in front of a display case and another woman looks at a digital camera', 'A woman stands tall in front of a glass display while another woman takes a picture of something .', 'A woman stands with her arms out at her sides while another takes a picture .', 'A woman stands with her arms out in a store while another woman holds a camera .', 'One woman is taking a picture and another woman is standing sideways with her arm out .']",1,0
flickr8k-images\3325974730_3ee192e4ff.jpg,"['A snowboarder jumps high into the air off of a snowy ramp .', 'A snowboarder jumps off a ramp .', 'Man on a snowboard performing a trick high in the air .', 'Person in a purple coat making a jump on a snowboard .', 'Snowboarder jumps off high ramp over icy landscape .']",1,0
flickr8k-images\1655781989_b15ab4cbff.jpg,"['A group of mountain climbers', 'A group of people walking in a line through the snow toward a mountain .', 'A line of people are making their way through snow covered mountains .', 'People are walking through a snow covered field with a mountain the background .', 'People facing mountains in the snow .']",1,0
flickr8k-images\2469498117_b4543e1460.jpg,"['A dog races while wearing number 6 .', 'A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track .', 'a muzzle greyhound dog running on a track', 'A tan greyhound wearing a gold shirt with a number on it runs down a track .', 'muxzzled greyhound leaping in race with yellow jacket .']",1,0
flickr8k-images\69710415_5c2bfb1058.jpg,"['A group of people stand at the edge of a cliff over the ocean .', 'A group of three boy scouts rest on a bluff overlooking the ocean .', 'Three men stand on a cliff overlooking a lake .', 'Three scouts are on top of a cliff overlooking the ocean .', 'Two men are sitting on a rock near the ocean with another man standing nearby .']",1,0
flickr8k-images\3414734842_beb543f400.jpg,"['A couple holding hands and another woman are walking down a wooded trail .', 'A couple holding hands and a woman standing beside them pose on a tree lined dirt road .', 'Three friends on a stroll in the forest .', 'Three people stand on a path through the woods .', 'Two women and a man posing on a rural path']",1,0
flickr8k-images\3535879138_9281dc83d5.jpg,"['A crowd of people waving red flags are passing under a bridge .', 'A group of people walk down the street carrying red flags .', 'A large group of people walking down a street , some carrying flags or banners .', 'Many people walking together on pavement near a brick building with other people looking on .', 'many people walk in the street .']",1,0
